genus,higher_taxon
Chonostrophiella,Brachiopod
Anoplia,Brachiopod
Strophochonetes,Brachiopod
Spinoplasia,Brachiopod
Orthostrophella,Brachiopod
Leptocoelina,Brachiopod
Pseudoparazyga,Brachiopod
Rensselaerina,Brachiopod
Oriskania,Brachiopod
Reticulariopsis,Brachiopod
Notoparmella,Brachiopod
Reticulatrypa,Brachiopod
Thliborhynchia,Brachiopod
Plicocyrtina,Brachiopod
Cortezorthis,Brachiopod
Biconostrophia,Brachiopod
Phragmostrophia,Brachiopod
Werneckeella,Brachiopod
Nymphorhynchia,Brachiopod
Kayserella,Brachiopod
Cymostrophia,Brachiopod
Desquamatia,Brachiopod
Latonotoechia,Brachiopod
Spinulicosta,Brachiopod
Parachonetes,Brachiopod
Carinatina,Brachiopod
Mystrophora,Brachiopod
Athyrhynchus,Brachiopod
Meristospira,Brachiopod
Prosserella,Brachiopod
Phragmophora,Brachiopod
Nadiastrophia,Brachiopod
Trigonirhynchia,Brachiopod
Chonostrophia,Brachiopod
Cryptonella,Brachiopod
Strophalosia,Brachiopod
Pholidostrophia,Brachiopod
Parapholidostrophia,Brachiopod
Pentamerella,Brachiopod
Warrenella,Brachiopod
Emanuella,Brachiopod
Protodouvillina,Brachiopod
Longispina,Brachiopod
Truncalosia,Brachiopod
Pseudoatrypa,Brachiopod
Elita,Brachiopod
Eoschuchertella,Brachiopod
Ogilviella,Brachiopod
Ambothyris,Brachiopod
Leiorhynchus,Brachiopod
Hadrorhynchia,Brachiopod
Cassidirostrum,Brachiopod
Leptagonia,Brachiopod
Tropidoleptus,Brachiopod
Protoleptostrophia,Brachiopod
Douvillina,Brachiopod
Devonochonetes,Brachiopod
Retichonetes,Brachiopod
Pustulatia,Brachiopod
Spinocyrtia,Brachiopod
Mucrospirifer,Brachiopod
Mediospirifer,Brachiopod
Allanaria,Brachiopod
Calvinaria,Brachiopod
Nervostrophia,Brachiopod
Devonoproductus,Brachiopod
Hypothyris,Brachiopod
Hypothyridina,Brachiopod
Pugnax,Brachiopod
Cyrtospirifer,Brachiopod
Cariniferella,Brachiopod
Schuchertella lens,Brachiopod
Crania rowleyi,Brachiopod
Acanthocrania,Brachiopod
Rhipidomella missouriensis,Brachiopod
Camarophorella,Brachiopod
Heteralosia beecheri,Brachiopod
Leptalosia,Brachiopod
Rhytiophora,Brachiopod
Syringospira,Brachiopod
Carinagypa,Brachiopod
Bojothyris,Brachiopod
Eccentricosta,Brachiopod
Nanothyris,Brachiopod
Parazyga,Brachiopod
Atrypa oneidensis,Brachiopod
Allanaria engelmanni,Brachiopod
Ambothyris utahensis,Brachiopod
Cyrtina billingsi,Brachiopod
Subrensselandia,Brachiopod
Paraspirifer,Brachiopod
Fimbrispirifer,Brachiopod
Leangella,Brachiopod
Composita subtilita,Brachiopod
Reticulatia huecoensis,Brachiopod
Neochonetes granulifer,Brachiopod
Derbyia hooserensis,Brachiopod
Hustedia mormoni,Brachiopod
Linipalus magnispinus,Brachiopod
Hystriculina wabashensis,Brachiopod
Neospirifer dunbari,Brachiopod
Rhipidomella carbonaria,Brachiopod
Derbyia wabaunseensis,Brachiopod
Dielasma bovidens,Brachiopod
Enteletes hemiplicata,Brachiopod
Parajuresania nebrascensis,Brachiopod
Derbyia cymbula,Brachiopod
Crurithyris expansa,Brachiopod
Lingula carbonaria,Brachiopod
Kutorginella lasallensis,Brachiopod
Lissochonetes geinitzianus,Brachiopod
Wellerella tetrahedra,Brachiopod
Neospirifer kansasensis,Brachiopod
Wellerella truncata,Brachiopod
Wellerella osagensis,Brachiopod
Lissochonetes geronticus,Brachiopod
Petrocrania modesta,Brachiopod
Punctospirifer kentuckensis,Brachiopod
Orbiculoidea missouriensis,Brachiopod
Hystriculina hystricula,Brachiopod
Composita elongata,Brachiopod
Lissochonetes,Brachiopod
Rhynchopora magnicosta,Brachiopod
Cleiothyridina orbicularis,Brachiopod
Linoproductus prattenianus,Brachiopod
Isogramma,Brachiopod
Leptalosia ovalis,Brachiopod
Cancrinella boonensis,Brachiopod
Teguliferina,Brachiopod
Derbyia crassa,Brachiopod
Chonetella,Brachiopod
Chonetes mesoloba,Brachiopod
Mesolobus mesolobus decipiens,Brachiopod
Mesolobus mesolobus lioderma,Brachiopod
Desmoinesia muricatina,Brachiopod
Crurithyris planoconvexa,Brachiopod
Condrathyris perplexa,Brachiopod
Antiquatonia portlockianus,Brachiopod
Mesolobus mesolobus euampygus,Brachiopod
Anthracospirifer occiduus,Brachiopod
Meekella striatocostata,Brachiopod
Desmoinesia nana,Brachiopod
Spirifer rockymontanus,Brachiopod
Orbiculoidea capuliformis,Brachiopod
Eridmatus texanus,Brachiopod
Pulchratia,Brachiopod
Echinaria,Brachiopod
Neospirifer triplicatus,Brachiopod
Rhynchopora illinoisensis,Brachiopod
Cancrinella,Brachiopod
Camarophorina,Brachiopod
Echinaria moorei,Brachiopod
Composita ovata,Brachiopod
Rouillieria michalkowii,Brachiopod
Petriathyris,Brachiopod
Taimyrothyris,Brachiopod
Lingula subspatulata,Brachiopod
Terebratula tamaulipana,Brachiopod
Terebratula sillimani,Brachiopod
Cyclothyris subtrigonalis,Brachiopod
Rhynchonella miquihuanensis,Brachiopod
Antiptychina lata,Brachiopod
Terebratula coahuilensis,Brachiopod
Terebratula kanei,Brachiopod
Antiptychina formosa,Brachiopod
Antiptychina muellerriedi,Brachiopod
Rhynchonella durangensis,Brachiopod
Composita trinuclea,Brachiopod
Plectospira,Brachiopod
Inflatia,Brachiopod
Reticulariina,Brachiopod
Marginicinctus,Brachiopod
Tetracamera,Brachiopod
Planalvus densa,Brachiopod
Reticulariina spinosa,Brachiopod
Rhipidomella dubia,Brachiopod
Stegacanthia,Brachiopod
Discinisca,Brachiopod
Bifida,Brachiopod
Vallomyonia devonica,Brachiopod
Torynifer pseudolineatus,Brachiopod
Terebratulina brundidgensis,Brachiopod
Echinoconchus biseriatus,Brachiopod
Composita subquadrata,Brachiopod
Virgiana decussata,Brachiopod
Eocoelia hemisphaerica,Brachiopod
Salopina conservatrix,Brachiopod
Plagiorhyncha,Brachiopod
Visbyella,Brachiopod
Paracraniops,Brachiopod
Eocoelia curtisi,Brachiopod
Leptaena (Leptaena) depressa,Brachiopod
Mesopholidostrophia nitens,Brachiopod
Protochonetes,Brachiopod
Gypidula cornuta,Brachiopod
Gypiduloides,Brachiopod
Parapugnax,Brachiopod
Westbroekina,Brachiopod
Iowatrypa,Brachiopod
Adolfispirifer,Brachiopod
Theodossia,Brachiopod
Tenticospirifer,Brachiopod
Afilasma,Brachiopod
Oleneothyris harlani,Brachiopod
Argyrotheca beecheri,Brachiopod
Platidia,Brachiopod
Eocoelia sulcata,Brachiopod
Leptostrophia beechhillensis,Brachiopod
Camarotoechia bimesiornata,Brachiopod
Fascifera,Brachiopod
Orthotetes kaskaskiensis,Brachiopod
Leptagonia analoga,Brachiopod
Schellwienella inaequalis,Brachiopod
Schellwienella planumbona,Brachiopod
Schellwienella crenulicostata,Brachiopod
Schellwienella inflata,Brachiopod
Chonetes logani,Brachiopod
Chonetes illinoisensis,Brachiopod
Chonetes glenparkensis,Brachiopod
Productus ovatus,Brachiopod
Productus arcuatus,Brachiopod
Chonetipustula concentrica,Brachiopod
Rhipidomella thiemei,Brachiopod
Schizophoria chouteauensis,Brachiopod
Beecheria chouteauensis,Brachiopod
Reticularia cooperensis,Brachiopod
Paraphorhynchus,Brachiopod
Streptorhynchus tenuicostatum,Brachiopod
Rhipidomella tenuicostata,Brachiopod
Brachythyris chouteauensis,Brachiopod
Caenanoplia,Brachiopod
Calvustrigis,Brachiopod
Spinocarinifera,Brachiopod
Piloricilla,Brachiopod
Macropotamorhynchus,Brachiopod
Orbiculoidea varsoviensis,Brachiopod
Productus sedaliensis,Brachiopod
Spirifer gregeri,Brachiopod
Dalmanella edgewoodensis,Brachiopod
Cryptothyrella ovoides,Brachiopod
Eospirigerina putilla,Brachiopod
Brevilamnulella thebesensis,Brachiopod
Dolerorthis savagei,Brachiopod
Schuchertella propinqua,Brachiopod
Stegerhynchus concinna,Brachiopod
Homoeospira fiscellostriata,Brachiopod
Eostropheodonta,Brachiopod
Strophonelloides,Brachiopod
Floweria prava,Brachiopod
Atribonium,Brachiopod
Indospirifer,Brachiopod
Ladogioides,Brachiopod
Eleutherokomma,Brachiopod
Allanella,Brachiopod
Pseudoatrypa devoniana,Brachiopod
Schizophoria (Schizophoria) iowensis,Brachiopod
Douvillina arcuata,Brachiopod
Sulcatostrophia,Brachiopod
Adolfia,Brachiopod
Schizophoria lata,Brachiopod
Variatrypa,Brachiopod
Tecnocyrtina,Brachiopod
Eostrophalosia,Brachiopod
Whidbornella,Brachiopod
Lingula meeki,Brachiopod
Leptathyris,Brachiopod
Howittia,Brachiopod
Eoreticularia,Brachiopod
Amoenospirifer,Brachiopod
Aseptirhynchia,Brachiopod
Anatrypa,Brachiopod
Cyrtinaella,Brachiopod
Sibiritoechia,Brachiopod
Filigreenia,Brachiopod
Micidus,Brachiopod
Brachyprion (Brachyprion),Brachiopod
Desquamatia khavae,Brachiopod
Terebratulina lachryma,Brachiopod
Baturria,Brachiopod
Strophoprion euglypha,Brachiopod
Amerista,Brachiopod
Leioproductus varispinosus,Brachiopod
Ptychomalotoechia sobrina,Brachiopod
Cyrtiopsis,Brachiopod
Laminatia laminata,Brachiopod
Leioproductus,Brachiopod
Paurorhyncha,Brachiopod
Planoproductus,Brachiopod
Schizophoria (Schizophoria) australis,Brachiopod
Floweria chemungensis,Brachiopod
Strophopleura,Brachiopod
Porostictia,Brachiopod
Cricosia filosa,Brachiopod
Stringocephalus,Brachiopod
Acanthatia nupera,Brachiopod
Planoproductus hillsboroensis,Brachiopod
Asymmetrochonetes,Brachiopod
Barbaestrophia,Brachiopod
Leptaena nassichuki,Brachiopod
Tadschikia,Brachiopod
Acanthospirifer,Brachiopod
Tylothyris mesacostalis,Brachiopod
Ambocoelia umbonata,Brachiopod
Rhipidomella vanuxemi,Brachiopod
Orthospirifer,Brachiopod
Goniophoria,Brachiopod
Mucrospirifer mucronatus,Brachiopod
Cyrtina hamiltonensis,Brachiopod
Thiemella,Brachiopod
Orthospirifer mesastrialis,Brachiopod
Tropidoleptus carinatus,Brachiopod
Megastrophia (Megastrophia),Brachiopod
Fimbrispirifer divaricatus,Brachiopod
Cranaena romingeri,Brachiopod
Leptostrophia (Rhytistrophia),Brachiopod
Spinulicosta navicella,Brachiopod
Camarotoechia tethys,Brachiopod
Camarospira,Brachiopod
Schizophoria striatula,Brachiopod
