genus,higher_taxon
Volutomorpha,Gastropod
Cyclonema parvimedium,Gastropod
Liospira affinis,Gastropod
Naticonema kauffmani,Gastropod
Bellerophon blairi,Gastropod
Retispira perelegans,Gastropod
Strophostylus bivolve,Gastropod
Porcellia,Gastropod
Platyschisma depressa,Gastropod
Angyomphalus lens,Gastropod
Straparollus macromphalus,Gastropod
Serpulospira paradoxus,Gastropod
Warthia,Gastropod
Anematina conica,Gastropod
Platyceras paralium,Gastropod
Straparollus (Euomphalus) subplanus,Gastropod
Orthonychia vomerium,Gastropod
Arizonella allecta,Gastropod
Arastra torquata,Gastropod
Cyclozyga micra,Gastropod
Platyostoma antiquuis,Gastropod
Floyda concentrica,Gastropod
Philoxene argutus,Gastropod
Westerna gigantea,Gastropod
Floyda,Gastropod
Orthonychia,Gastropod
Vorticina cyrtolites,Gastropod
Tubina,Gastropod
Oriostoma,Gastropod
Pleurofusia,Gastropod
Bellatara,Gastropod
Galeodea petersoni,Gastropod
Scaphander,Gastropod
Cypraeorbis ventripotens,Gastropod
Velates perversus,Gastropod
Lithophysema,Gastropod
Euthriofusus convexus,Gastropod
Pyropsis proxima,Gastropod
Gyrodes major,Gastropod
Napulus,Gastropod
Euspira rectilabrum,Gastropod
Paladmete,Gastropod
Turritella quadrilira,Gastropod
Isonema depressum,Gastropod
Retispira sullivani,Gastropod
Bellerophon chapmani,Gastropod
Bellerophon livengoodensis,Gastropod
Euomphalus bundtzeni,Gastropod
Serpulospira,Gastropod
Mastigospira weberae,Gastropod
Pseudomphalotrochus linsleyi,Gastropod
Hypomphalocirrus rugosus,Gastropod
Buechelia nodosa,Gastropod
Callistadia,Gastropod
Ptychomphalina,Gastropod
Winterbergiella binodosa,Gastropod
Kitikamispira ormistoni,Gastropod
Naticopsis bowsheri,Gastropod
Naticopsis (Naticopsis),Gastropod
Murchisonia,Gastropod
Jedria deckeri,Gastropod
Stegocoelia (Taosia),Gastropod
Clathronema cingulata,Gastropod
Clathronema cloughi,Gastropod
Palaeozygopleura,Gastropod
Alaskozygopleura crassicostata,Gastropod
Bensbergia subcostata,Gastropod
Spinulrichospira churkini,Gastropod
Barocospira linsleyi,Gastropod
Oriomphalus supralirata,Gastropod
Pachystrophia triquestra,Gastropod
Phanerotrema perryi,Gastropod
Oriostoma thorsteinssoni,Gastropod
Orthonychia daschi,Gastropod
Platyceras sinuatum,Gastropod
Murchisonia (Murchisonia),Gastropod
Catazone,Gastropod
Codonocheilus,Gastropod
Kodymites,Gastropod
Tremanotus angustata,Gastropod
Orthonychia dentalium,Gastropod
Pleurorima,Gastropod
Loxonema walcotti,Gastropod
Eleutherospira sinistralis,Gastropod
Platyschisma,Gastropod
Stenoloron minor,Gastropod
Bicarina,Gastropod
Petrochus,Gastropod
Oriostoma gerbaulti,Gastropod
Murchisonia tillesae,Gastropod
Decorospira rigbyi,Gastropod
Straparollus lonemountainensis,Gastropod
Serpulospira swickae,Gastropod
Kitikamispira minuitinodosa,Gastropod
Merriamites eurekae,Gastropod
Bellerophon nevadensis,Gastropod
Pachystrophia,Gastropod
Philoxene caementarius,Gastropod
Denayella housei,Gastropod
Eoangyomphalus klapperi,Gastropod
Hypselentoma,Gastropod
Conotoma aurora,Gastropod
Quadricarina glabrobasis,Gastropod
Quadricarina,Gastropod
Porcellia denayi,Gastropod
Paraporcellia rohri,Gastropod
Catazone nevadana,Gastropod
Murchisonia megathanae,Gastropod
Arjamannia cancellatula,Gastropod
Loxoplocus sedgwicki,Gastropod
Longstaffia centervillensis,Gastropod
Arjamannia woodlandi,Gastropod
Umbospira yochelsoni,Gastropod
Catazone cingulata,Gastropod
Phragmosphaera globata,Gastropod
Ptychosphaera carinata,Gastropod
Pleurorima confertinemilata,Gastropod
Hormotomina linsleyi,Gastropod
Platyceras erectum,Gastropod
Platyceras carinatum,Gastropod
Spinyplatyceras dumosum,Gastropod
Platyceras ammon,Gastropod
Portlockiella,Gastropod
Turbinella,Gastropod
