genus,higher_taxon
Vulsella,Biv
Ostrea soleniscus,Biv
Anatina,Biv
Siliqua,Biv
Arcopagella,Biv
Peilinia quadriplicata,Biv
Ostrea rugosa,Biv
Homomya,Biv
Inoceramus arvanus,Biv
Exogyra reedi,Biv
Exogyra putnami,Biv
Exogyra tamaulipana,Biv
Neithea biangulata,Biv
Prohinnites ordonesi,Biv
Plicatula umbonata,Biv
Lima (Plagiostoma) kanei,Biv
Gervillia alatior,Biv
Lucina kellumi,Biv
Sphaera americanus,Biv
Pholadomya gigantea,Biv
Plicatula azulensis,Biv
Trigonia,Biv
Spondylus oballosensis,Biv
Cucullaea striatiumbonata,Biv
Ostrea (Alectryonia),Biv
Plicatula pulchra,Biv
Astarte durangensis,Biv
Trapezium subtriangulum,Biv
Trapezium,Biv
Cubitostrea smithvillensis,Biv
Entolium,Biv
Inoceramus pictus,Biv
Gryphaeostrea,Biv
Promytilus,Biv
Inoceramus crippsi,Biv
Mytiloides,Biv
Pseudoperna,Biv
Ostrea crenulimarginata,Biv
Ostrea pulaskensis,Biv
Calorhadia,Biv
Venericardia (Venericor) mediaplata,Biv
Venericardia (Venericor) smithii,Biv
Teredo,Biv
Venericardia (Baluchicardia) wilcoxensis,Biv
Pseudomonotis,Biv
Jupiteria,Biv
Nucula (Nucula) mediavia,Biv
Crassatella aquiana,Biv
Lirodiscus,Biv
Glossus,Biv
Mytiloides mytiloides,Biv
Glans (Glans) intermedia,Biv
Bathytormus alaeformis,Biv
Kummelia,Biv
Pitar (Pitar) ovatus,Biv
Nemodon brevifrons,Biv
Plesiopinna,Biv
Cardiola lyoni,Biv
Schizodus trigonalis,Biv
Aucellina,Biv
Gigantostrea trigonalis,Biv
Spisula,Biv
Chlamys deshayesii,Biv
Striostrea gigantissima,Biv
Gari,Biv
Tellina (Arcopagia) eburneopsis,Biv
Barbatia (Cucullaearca) cuculloides,Biv
Laevicardium,Biv
Amusium,Biv
Ostrea (Ostrea) podagrina,Biv
Exputens,Biv
Barbatia carolinensis,Biv
Limea,Biv
Nucula stantoni,Biv
Crassatella hodgei,Biv
Lucina parva,Biv
Palaeoneilo constricta,Biv
Grammysioidea,Biv
Lyriopecten,Biv
Nuculoidea corbuliformis,Biv
Spathella typica,Biv
Vertumnia,Biv
Actinopteria boydi,Biv
Pterotrigonia (Scabrotrigonia) eufaulensis,Biv
Pycnodonte (Phygraea) vesiculare,Biv
Gryphaea mutabilis,Biv
Lima reticulata,Biv
Cubitostrea tecticosta,Biv
Tenuipteria,Biv
Eufistulina,Biv
Inoceramus (Inoceramus),Biv
Trachycardium eufaulensis,Biv
Caestocorbula (Caestocorbula) crassaplica,Biv
Corbula monmouthensis,Biv
Lima (Lima),Biv
Praeleda compar,Biv
Neithea (Neitheops),Biv
Lopha mesenterica,Biv
Mytilus,Biv
Arctostrea,Biv
Acesta,Biv
Camptonectes (Camptonectes),Biv
Spondylus (Spondylus),Biv
Perrisonota,Biv
Pholadomya (Pholadomya),Biv
Pecten (Pecten),Biv
Plicatula (Plicatula),Biv
Clavagella,Biv
Cuspidaria (Cuspidaria),Biv
Chlamys (Chlamys) cretosus,Biv
Lima sellardsi,Biv
Anomia (Anomia),Biv
Pinna (Pinna),Biv
Idonearca powersi,Biv
Neithea (Neitheops) quinquecostata,Biv
Icanotia,Biv
Lima geronimoensis,Biv
Corbula (Varicorbula),Biv
Lucina parvilineata,Biv
Sourimis georgiana,Biv
